Wall time,Step,Value
1714978094.010912,5300,0.13607624173164368
1714978096.5569847,5600,0.20559222996234894
1714978119.2702227,8200,0.3272446095943451
1714978139.8094862,10500,0.8231817483901978
1714978204.5666964,17800,0.5855128765106201
1714978259.1894722,24000,1.2284986972808838
1714978263.6621504,24500,1.7553484439849854
1714978282.1871412,26600,0.9933477640151978
1714978298.260548,28400,4.123518466949463
1714978328.9851089,31900,2.145449638366699
1714978330.6728961,32100,1.8080412149429321
1714978337.7917304,32900,2.529041290283203
1714978477.1663375,48500,3.366788387298584
1714978532.2771523,54700,2.477307081222534
1714978570.1865435,59000,1.7073999643325806
1714978576.5734973,59700,0.8495293259620667
1714978618.9904575,64500,1.8633910417556763
1714978630.4000297,65800,0.9018537402153015
1714978651.6716897,68200,1.977294683456421
1714978689.5783923,72500,2.4241244792938232
1714978696.6645877,73300,5.8700761795043945
1714978752.5620997,79600,2.737082004547119
1714978767.593382,81300,4.988480091094971
1714978773.0007286,81900,3.559659719467163
1714978798.8880677,84700,2.830749034881592
1714978918.9112215,98200,1.8673890829086304
1714978959.8721664,102500,4.007156848907471
1714979006.19361,107700,3.790524959564209
1714979040.2712247,111500,5.319304466247559
1714979107.5861762,119100,1.5235587358474731
1714979179.7835343,127200,1.6604112386703491
1714979228.4428961,132700,1.403690218925476
1714979231.27129,133000,3.3491883277893066
1714979243.5956693,134400,3.003978729248047
1714979247.1671329,134800,3.831141710281372
1714979289.871442,139600,5.873873233795166
1714979296.173089,140300,1.8155713081359863
1714979335.1918101,144700,2.5460715293884277
1714979361.8009253,147700,2.0293633937835693
1714979412.3471987,153400,2.167349338531494
1714979437.9993916,156300,1.3852345943450928
1714979452.479621,157900,2.6478872299194336
1714979466.5985222,159500,3.102306842803955
1714979562.3884048,170200,3.065593719482422
1714979601.291805,174500,3.6157586574554443
1714979603.8709335,174800,1.5464686155319214
1714979700.2893558,185500,2.29304838180542
1714979720.2767143,187700,2.4398465156555176
1714979730.0741227,188800,2.414658308029175
1714979765.814375,192800,2.0455098152160645
1714979783.3008602,194500,1.6235500574111938
1714979795.9890852,195800,1.5533125400543213
1714979875.1929054,204700,1.210547685623169
1714979928.1789966,210700,1.7108433246612549
1714980011.9691715,219800,1.6306893825531006
1714980022.7007406,221000,2.112029552459717
1714980051.077836,224200,4.998591423034668
1714980056.3769643,224800,4.3511433601379395
1714980081.5723464,227300,2.81655216217041
1714980121.8879218,231800,1.2770662307739258
1714980194.790899,240000,3.919034481048584
1714980236.1984012,244700,2.893763780593872
1714980251.4746351,246400,3.811068534851074
1714980253.1814897,246600,6.516534805297852
1714980257.6851943,247100,1.7219035625457764
1714980279.766028,249600,1.9564235210418701
1714980280.6678123,249700,3.4679110050201416
1714980291.3668208,250900,2.050009250640869
1714980295.8981967,251400,2.7870452404022217
1714980321.992324,254300,3.5082221031188965
1714980335.1737976,255800,1.998300313949585
1714980458.8926883,269600,2.413296937942505
1714980508.2770345,275100,2.2420153617858887
1714980711.2986286,297800,2.206456184387207
1714980776.0918708,304900,2.3701252937316895
1714980778.6928196,305200,1.2991374731063843
1714980831.0822523,311000,4.086547374725342
1714980885.9073725,317200,1.4254027605056763
1714980946.6751993,324100,3.054774522781372
1714980959.1702096,325500,4.3000617027282715
1714980960.8988032,325700,3.2731916904449463
1714980961.7797348,325800,2.6250922679901123
1714981015.4046936,331600,5.476595401763916
1714981170.682297,349100,1.7921305894851685
1714981296.4833593,362900,5.625502586364746
1714981298.1942294,363100,4.916159629821777
1714981342.3898838,368100,1.4391545057296753
1714981405.066412,375200,1.302988886833191
1714981451.2951412,380400,2.5858724117279053
1714981469.7874594,382500,1.974063515663147
1714981475.7802634,383200,2.8494794368743896
1714981570.3782833,393900,3.7166004180908203
1714981594.9966502,396700,3.266022205352783
1714981619.9178464,399500,1.7769888639450073
1714981665.796748,404700,2.2278530597686768
1714981720.206679,410900,1.7855652570724487
1714981807.2107415,420700,6.132339000701904
1714981835.2968378,423800,2.327636480331421
